opt=none	mut=none	rc=0	stdout=e6efd2c671f9c4ef8a1588d8a27b81b9fbaf993e5a7cc52a34af6357d50d2e2d	stderr=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
opt=none	mut=--mutate-top-pin	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=5414539febf72bc1bd7df3be06daeb57f629476255cffac72347aeae054ac1c8	ValueError: actual fixed-face coefficient projection
opt=none	mut=--mutate-lift-sign	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=5a46c62a99993ddfde234f0c42873dbf34b2855c1b1ff92be3dadca842525a5c	ValueError: actual k monomial lift sign
opt=none	mut=--mutate-remove-constant	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=21ba4ff520ddfef91f286c165f52c31e3480d3c52da05aaef6b75cb65b683dc0	ValueError: actual constant-and-k infeasibility witness
opt=none	mut=--mutate-remove-k	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=21ba4ff520ddfef91f286c165f52c31e3480d3c52da05aaef6b75cb65b683dc0	ValueError: actual constant-and-k infeasibility witness
opt=-O	mut=none	rc=0	stdout=e6efd2c671f9c4ef8a1588d8a27b81b9fbaf993e5a7cc52a34af6357d50d2e2d	stderr=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
opt=-O	mut=--mutate-top-pin	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=5414539febf72bc1bd7df3be06daeb57f629476255cffac72347aeae054ac1c8	ValueError: actual fixed-face coefficient projection
opt=-O	mut=--mutate-lift-sign	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=5a46c62a99993ddfde234f0c42873dbf34b2855c1b1ff92be3dadca842525a5c	ValueError: actual k monomial lift sign
opt=-O	mut=--mutate-remove-constant	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=21ba4ff520ddfef91f286c165f52c31e3480d3c52da05aaef6b75cb65b683dc0	ValueError: actual constant-and-k infeasibility witness
opt=-O	mut=--mutate-remove-k	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=21ba4ff520ddfef91f286c165f52c31e3480d3c52da05aaef6b75cb65b683dc0	ValueError: actual constant-and-k infeasibility witness
