NB=88
-7025,6727,10603,9650,15848,-2123,13338,-7427,4840,9464,15434,9097,11597,12204,-12299,-15581,-13163,6520,-662,-13948,7461,-4504,-8824,8528,15428,15307,8177,3975,14878,-6528,14556,-2740,14902,-7260,-2357,-11129,-4040,-14330,-13826,14405,-5559,-6809,8910,5344,9044,-5483,0,0,12561,13884,-6980,13949,-15151,15418,0,0,0,-2940,1586,2494,-13818,-12726,0,0,0,0,0,-12335,106,996,-7176,0,0,0,0,0,0,-11537,5661,-13009,0,0,0,0,0,0,0,0,
-13189,-8759,1030,-2720,7567,-8441,-11441,-8574,-8041,35,14712,-1989,-1260,-15321,-13409,9280,13407,-10162,1019,13624,-9616,8339,-5,10637,-8476,2487,-2399,-15038,5177,3875,1086,13609,-9580,-13984,6655,5903,12762,2526,-15633,14143,15187,-9121,-2228,-13266,-223,2111,-592,0,-8089,-13313,366,-1508,9580,-13496,3201,0,0,4169,-15674,1382,-14839,-6674,6623,0,0,0,0,-1750,6579,10764,-8687,6936,0,0,0,0,0,-304,-12656,3632,13538,0,0,0,0,0,0,0,
3358,9619,-7507,-307,14615,7203,-2117,4782,10831,11457,4607,11418,1287,-8893,15581,-1103,-6189,13342,-9701,-3888,8389,3515,-7193,-4180,14452,-13867,-10085,9739,-5890,-3023,5568,8618,-8584,9003,6625,8547,-5420,-3019,-3214,-9302,-11648,-7409,46,9678,14099,-6322,4436,4073,-5039,8342,6529,13986,9417,14503,7001,0,0,-3956,1408,-10976,12248,6616,7013,3201,0,0,0,-4788,-13846,8374,-7288,-15167,0,0,0,0,0,-14215,5082,11822,-13265,6936,0,0,0,0,0,0,
-11524,362,-12335,5786,5592,-15749,-1520,9184,-7397,-13316,-5812,-3537,-12939,-7261,-1689,-7242,15472,-2745,-10661,-4407,5902,12090,11774,-14037,4037,8506,10948,-10437,14713,13668,14556,-11247,4047,11761,-10266,10830,-12025,-15921,-9716,2211,13504,2673,6571,9579,7065,7832,2804,12868,10320,11445,-11471,-10165,8360,-8420,-10402,11096,8739,-1391,7163,-169,7711,-14361,-13349,11939,6324,0,0,-7934,-9747,-15493,-3804,5721,-11252,8586,0,0,0,-13358,-5757,11412,15746,-5051,-4766,0,0,0,0,0,
2896,-12440,15736,3638,6187,-13859,-8352,-11512,2062,-15242,6984,-7203,11790,15274,1674,-6422,-15844,-9251,4583,-15627,-5128,-3921,-13921,4182,-12201,-3433,3956,1553,-13918,15826,-9804,7065,13363,-1022,5912,-4558,1049,-10270,-1050,15275,-13292,-9775,-15091,-10582,6819,6601,1137,-7402,11972,-11200,-3241,11514,-15489,3295,9357,-2410,0,2275,11631,799,-10155,-13047,1213,594,0,0,0,2846,-8994,-9265,5247,-9608,11708,0,0,0,0,-15935,3350,4545,9615,-13138,0,0,0,0,0,0,
-611,-3614,-9337,-11702,-8070,273,-7908,-3562,8820,2633,8413,1610,14511,-15568,-13383,-13716,-12316,-1833,-3033,8706,1606,-10452,-15968,10003,-15833,-1808,9257,12882,-9993,3528,-6516,6716,-2101,5775,-13466,13012,-12144,7465,-14168,-3876,-8312,11005,7337,-12485,13075,-14628,-15345,10859,-11158,-14775,-13668,-14439,-3600,-14069,14254,3478,15279,1661,47,13334,3760,1055,-12698,7574,7839,0,0,13690,-13510,898,8966,-15345,4856,9197,0,0,0,1866,-8573,535,1513,10361,-12133,0,0,0,0,0,
12889,-8845,14030,-6023,-12474,14340,12647,7031,5193,14901,5459,-4026,10713,-9766,-12449,-4094,-8808,-4464,9946,-14276,7190,-2007,-14905,1649,3594,-2379,4975,11897,-7843,-3742,-6870,-10385,-5174,51,-3822,9913,-11915,5302,7018,-3936,-3683,15535,-11832,-13760,-7912,9767,-6053,-7639,1923,7341,-5523,-289,6877,-1241,4431,7256,-13422,12249,-12520,-1156,10454,-4914,-5528,10741,-10871,10865,0,13739,10043,12934,-13265,7255,8597,8837,6073,0,0,1694,5638,1061,4041,5067,-8452,740,0,0,0,0,
-13564,-15375,-10014,4116,2002,12534,-6546,6795,1213,7959,5365,-6837,-4726,-4597,-7962,13307,-11335,-11935,4906,15358,15169,-11068,4392,15329,-13210,-1099,-5348,-913,13626,4531,3146,5170,-12826,-12587,10897,-10297,9491,1227,1745,7185,-1463,-2876,-1557,-3147,15752,-3409,-2670,7919,15345,-4544,1294,14844,-3320,595,-6529,6484,-12812,184,4205,-87,12199,6387,12042,9456,-14969,0,0,-12979,-9895,-1864,-8379,14908,-10410,10997,0,0,0,3427,697,8096,15553,-5228,1836,0,0,0,0,0,
-8136,-11949,14549,-3274,8720,14511,8994,15931,14066,3868,-6638,-8212,13025,7960,-6679,6410,13905,-7710,-6963,-1361,2187,11204,6300,7293,15163,-2947,8889,-10749,-5141,14319,2369,-10112,-6636,12678,-6667,-6190,-2710,15782,-11956,-4377,-12827,15546,1052,14819,-12362,8470,-7778,14989,-14615,-15597,-2525,16013,3277,10724,14422,6964,-12355,-8949,-65,-10609,-3530,-11282,1276,13299,-8477,-2410,0,6261,-10306,-5841,7964,-11104,14866,-347,0,0,0,2357,-8423,-13686,-4097,-5744,-15928,11708,0,0,0,0,
9496,-1760,-4521,4526,-12086,-10326,6118,3853,6891,-4094,-7950,-1027,12618,-11674,-15902,-15861,3844,9470,-421,329,10553,13504,8876,6894,2765,-10432,-2860,152,-12146,-6769,14765,5809,5954,-8530,11890,4458,-598,-5243,10014,7410,-10031,6732,7970,-12146,-11809,13176,-2183,-2494,6468,-13608,-3332,-14035,-12320,14344,4285,-8461,320,-9096,-2146,-257,-7380,10797,-10212,-15476,1197,-7260,13778,13315,-10964,50,-9544,-15873,-364,6422,-7711,0,0,-5513,1884,-15701,-4200,-7269,7446,13927,6073,0,0,0,
-13811,-8414,10078,12413,-12362,3825,-4542,-14245,-3629,2093,14747,-15061,-11126,-1759,-2043,-2801,5694,-9578,10111,-9143,14997,14158,7289,-11862,-5944,13020,3118,-13299,-4503,15228,-9770,4847,-7022,7303,-13847,-3480,10785,13702,-14746,-12727,-390,5336,13879,6290,14711,-9273,-12778,12356,-12260,12027,-11734,-8410,12056,7850,2561,-13871,-9598,-11787,-8520,3075,16,-6840,-2238,-9442,10067,14536,-11946,13249,8716,-15243,-9160,4161,-16001,13383,805,3180,-8433,6109,856,14784,-3679,3576,-9509,14165,-9945,-14937,0,0,
7600,-5833,2057,-4464,-7668,10962,-11552,10639,-10670,-4727,783,-2700,6965,14575,11541,-14298,5511,13422,5691,12776,-11040,-6481,-12239,7879,-7556,-15130,14798,-10752,-10573,15383,8375,-13606,12827,-999,-9641,8047,-14929,-13039,8419,-7267,-5187,790,763,12826,11077,7561,-6437,15323,6945,-14609,-9308,10693,10392,844,3998,-12403,-3073,14611,3882,-6148,-641,-11008,-1175,956,-5829,12914,0,-2078,10981,-2517,8364,12645,-4805,3635,6715,0,0,-6131,6822,3755,1058,10607,13667,-9226,0,0,0,0,
-8931,1007,10839,-15694,8827,13486,-15005,-8895,4523,-5517,7266,-11860,-6714,6962,-4163,-11208,5414,-5999,-6961,1448,-496,-105,13782,-8573,-13170,7353,-9150,2905,-13703,-10387,12252,-15049,14941,4395,3846,-4217,9155,-2223,1891,4496,-419,-5390,-13604,7761,5609,8173,-496,2385,-4353,2778,859,-9542,-1569,7573,-1505,2066,13024,7155,-15668,-2115,-12202,5733,-6566,-7374,-4506,12102,-7077,-172,9363,8490,11654,-15580,14302,13264,-385,5138,0,1611,-2136,7161,-4480,15041,15202,3787,-2130,0,0,0,
-11074,-13411,9776,7769,-14577,2761,9473,-2893,1215,-2747,-1695,5656,-2226,-5432,-5765,-5987,11991,-12504,-5739,11039,13441,5070,9749,-13909,-8172,-11269,4367,10128,-15002,15166,-1368,-3586,-3302,11831,9398,-11813,-9735,-13291,-7896,-4587,11544,2491,131,15018,-7580,-8844,-10918,-10964,-3654,-12148,7762,-15090,15200,-11542,6775,12148,-580,-11823,3552,-11068,-13133,6798,1717,-5015,-579,14117,5319,6037,-2974,10487,5768,13431,-11321,2669,13534,11436,2077,7595,-14436,6323,-2552,-3265,10784,-10152,-6593,-11678,0,0,
-13279,10346,5522,14840,10560,2060,6070,-5302,4853,7343,12769,-12530,3023,9201,-10824,-6156,-1311,11870,-14117,8573,11824,-5421,-9909,7561,13292,-14729,-7119,-146,-9823,1002,14053,13891,9637,-464,14366,5167,12377,268,-11037,-11690,9438,-12173,-11064,-11453,4987,-8398,-2505,864,6413,12228,-12020,2567,8478,-14624,-10065,7162,-2469,-6814,-13769,509,11264,5073,11712,89,5191,-4945,-4005,-8981,12371,-3766,12168,-11609,5306,-2222,11714,967,1632,8911,6695,-251,-11676,-3664,-11351,-4246,-8900,9665,7834,0,
-14183,6461,7814,-11141,452,2292,-15844,13926,11669,4385,-15135,4911,-8342,-2337,14932,-4668,-8040,-809,14391,8706,-13339,5807,-12623,-6951,7635,-9561,4429,-12232,-9027,-11408,-14716,9643,10521,6923,8592,10858,6526,-2556,-5334,-13728,-10010,15665,-3371,3837,6071,9089,-1546,14077,-9090,8495,5384,15530,-6757,11861,241,10110,7916,1241,11115,-7747,-1926,-2385,-5534,-9482,1634,259,12710,15602,3669,-1233,-9269,3162,4849,-11273,1252,0,0,-6940,-13291,4467,-7150,1162,-8700,-12475,6715,0,0,0,
-14045,15793,13604,-11111,1371,8197,1028,5032,-7972,9039,2816,-3091,-11514,-7534,-5671,-8787,221,-135,-10451,10237,15004,-14814,-5265,4070,12152,14021,2049,15440,11119,-2206,12987,-577,-8700,3405,-15065,-11200,-13722,-2834,-10732,7503,-8189,4069,-1574,-7843,-9518,-2442,-5290,5709,-14660,-3971,-8540,4638,-9410,9366,7102,-6766,-1404,-3794,14347,2877,967,-10081,1491,-3127,11148,-15192,-15222,-4200,-12987,-13801,-4982,6249,2540,-551,5185,-11060,-11182,-3589,-15724,-3605,9484,4054,-9353,-8566,1450,600,0,0,
10266,8587,-14290,-6834,-9906,4607,-6143,11781,6172,465,9054,186,-6191,1856,9876,-12201,-3698,-11873,-9975,-15587,8692,-3177,4638,-9374,-4298,-14503,-8842,-2130,10627,159,14503,9987,-5196,-7120,13146,-364,-15213,4174,-12482,3915,5158,14295,-15784,-10873,-10727,15073,11344,6182,12802,-8496,-12086,-11506,-11043,-11784,5423,-4884,13881,-5676,-2496,2545,10215,9070,-13389,10808,11772,13239,-6222,-13617,14435,-11037,-15110,-5945,12000,-4401,-615,-885,4916,-11368,-8202,-1219,-936,-13959,-988,-3708,-1462,-7624,5138,0,
3121,-601,-10520,-15922,-9440,11663,10035,-11118,5293,5358,624,9580,-15626,10034,6461,4228,11913,10299,-13736,-9345,-3850,-7317,-1044,9286,9154,-1535,7268,-10113,-8170,1114,3441,14364,8262,-14183,-2034,-8626,-1578,-10402,951,13396,-4562,1202,-15553,-1843,13727,1651,-11399,-2921,-1768,1561,-6472,-3885,12212,-8289,3632,-9996,3946,-8512,14055,-5441,960,-360,-8400,7836,10500,585,-9073,-5498,7149,10594,9654,3460,7827,-6973,9355,2121,-13725,-4644,-14581,-2869,-1892,6200,-1727,-4599,-7728,-701,-5900,14090,
-5095,2570,7381,8636,4191,-14806,12800,-509,-3104,8856,-6324,-6144,-8448,13059,-12929,-13989,14809,-7924,-6117,-9249,-228,6286,-10582,5756,5461,-13412,256,-10061,-14565,-10340,6886,14071,-11338,14188,-11232,-4885,1750,2038,15906,-12872,-3275,-3376,356,12384,-11688,-2357,15236,-6929,11816,9658,-8957,-5687,8721,4881,11391,9432,10617,8005,9569,-7112,-1711,1515,2283,7069,-11335,-14786,8142,7678,-9526,13550,12294,1348,-9147,-2272,9112,10431,5260,5314,-11678,-11989,-13366,4930,-5029,1406,3306,-8085,-9601,-2551,
