file	bytes	sha256	end	status	url	error
sources/arxiv-jc-updated.xml	152456	47e2d1955641032243a98eb9a4ea62ae3b4a5440e1bd6f871ffad7f09f0dbd43	2026-09-08T22:12:52.210495+00:00	200	https://export.arxiv.org/api/query?search_query=all:%22Jacobian%20conjecture%22&sortBy=lastUpdatedDate&sortOrder=descending&max_results=100	None
sources/arxiv-jc-submitted.xml	150447	3e1b6661059b1da7574310cb087e0d3fc55ead5d6713f259cd8b4832c557a68a	2026-09-08T22:12:52.257618+00:00	200	https://export.arxiv.org/api/query?search_query=all:%22Jacobian%20conjecture%22&sortBy=submittedDate&sortOrder=descending&max_results=100	None
sources/arxiv-math-AG-new.html	71502	8bf9355e68443e138d37dfc41a53a8ae47e1bd8649a4280ad42ec22ee72ee454	2026-09-08T22:12:51.826686+00:00	200	https://arxiv.org/list/math.AG/new	None
sources/arxiv-math-AC-new.html	41451	099b5e7c2c057004527dc4fb3ba2779f5fba21556d440b3a749db17f8ddd05f4	2026-09-08T22:12:51.840676+00:00	200	https://arxiv.org/list/math.AC/new	None
sources/arxiv-math-CV-new.html	43689	9d35cc3a9ed3abe33f6f1ad14254074ea060134563638ba6e4d1f5ff866db6f9	2026-09-08T22:12:51.847115+00:00	200	https://arxiv.org/list/math.CV/new	None
sources/gh-broad.json	386111	eb2f693ecd78e2527d3b5a584bd5bafc0a1e81dd8d98300ca156a98bd16eae75	2026-09-08T22:12:53.851303+00:00	200	https://api.github.com/search/repositories?q=jacobian+conjecture&sort=updated&order=desc&per_page=100	None
sources/gh-new.json	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2026-09-08T22:12:51.747971+00:00	None	https://api.github.com/search/repositories?q=jacobian+conjecture+created:%3E2026-09-01&sort=updated&per_page=100	SSLError: [CRYPTO] malloc failure (_ssl.c:3026)
sources/zenodo-jc.json	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2026-09-08T22:12:51.739415+00:00	None	https://zenodo.org/api/records?q=%22Jacobian%20conjecture%22&sort=mostrecent&size=100	SSLError: [SSL] malloc failure (_ssl.c:3026)
sources/zenodo-plane.json	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2026-09-08T22:12:51.765488+00:00	None	https://zenodo.org/api/records?q=%22plane%20Jacobian%22%20OR%20%22Keller%20map%22&sort=mostrecent&size=100	MemoryError: 
sources/palomar-recent.json	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2026-09-08T22:12:51.755428+00:00	None	https://data.palomar-registry.org/recent.json	SSLError: [X509] malloc failure (_ssl.c:4286)
