T 2 H=300*q5_1**2 - 180*q5_1 + 24
P	4	01	top_endpoint	a5_0	1	1	27	0
P	4	00	scalar_chain	a3_0	10*q5_1 - 1	900	28	0
P	3	12	Q_chain	q4_1	10*q5_1 - 3	-300	19	0
P	2	12	Q_chain	q2_0	15*q5_1 - 4	-600	13	0
P	2	00	scalar_chain	b2	4*q5_1 - 1	-36	18	0
P	1	12	Q_chain	q3_0	40*q5_1 - 11	-4500	7	0
P	1	11	low_P_chain	a1_0	125*q5_1 - 21	34800	8	0
P	1	00	scalar_chain	a6_0	q5_1	24	12	0
P	0	12	Q_chain	q4_0	35*q5_1 - 3	13200	0	0
P	3	00	scalar_chain	a4_0	39*q5_1 - 10	-3696	23	6
P	0	11	endpoint_A	q5_0	10*q5_1 - 1	900	1	0
P	0	00	scalar_chain	b1	25*q5_1 - 4	1800	6	0
T 3 H=588*q7_1**2 - 336*q7_1 + 44
P	6	01	top_endpoint	a7_0	1	1	38	0
P	6	00	scalar_chain	a4_0	14*q7_1 - 1	4508	39	0
P	5	12	Q_chain	q5_1	7*q7_1 - 2	-196	30	0
P	5	00	scalar_chain	a5_0	7*q7_1 - 1	392	34	0
P	4	12	Q_chain	q6_1	7*q7_1 - 2	-196	25	0
P	4	00	scalar_chain	a6_0	14*q7_1 - 3	-196	29	0
P	3	12	Q_chain	q3_0	42*q7_1 - 11	-6468	19	0
P	3	00	scalar_chain	b2	4*q7_1 - 1	-52	24	0
P	2	12	Q_chain	q4_0	49*q7_1 - 13	-9016	13	0
P	2	11	low_P_chain	a1_0	49*q7_1 - 8	11564	14	0
P	2	00	scalar_chain	a8_0	q7_1	44	18	0
P	1	12	Q_chain	q5_0	147*q7_1 - 41	-85848	7	0
P	1	11	low_P_chain	a2_0	420*q7_1 - 71	706188	8	0
P	1	00	scalar_chain	a9_0	q7_1	44	12	0
P	0	12	Q_chain	q6_0	21*q7_1 - 10	7644	0	0
P	0	11	endpoint_A	q7_0	21*q7_1 - 2	7644	1	0
