# 12 F_p fiber points, seed rng=2026 (sampler in directionb_fiber_filter.py); vars: x68,x70,x71,x72,x73,x47,x52,x53,x54,x55,x57,x58,x59,x60,x62,x63,x65,x66,W1,W2,uW1,uW2
81459,72949,55130,102678,75047,29266,84829,15613,13452,41875,29266,65865,78778,67085,84829,13452,29266,78778,31931,95880,64754,82581
64262,89048,41187,27554,52064,1505,12851,80504,58937,10580,1505,14514,89807,37649,12851,58937,1505,89807,43162,83650,39768,34
70525,38288,37696,59958,18466,11752,94779,97775,44616,67316,11752,83586,73066,10003,94779,44616,11752,73066,43162,21687,39768,105303
55763,66369,105191,98323,78664,65333,76771,60433,72672,55340,65333,11886,15263,52268,76771,72672,65333,15263,43162,83650,39768,34
16908,6407,92361,68579,87881,29428,3326,73924,75434,62808,29428,67233,100378,67893,3326,75434,29428,100378,43162,95880,39768,82581
93653,71517,32899,73373,52701,88382,91843,63191,59873,30005,88382,15992,61525,82138,91843,59873,88382,61525,43162,83650,39768,34
60060,105322,68536,64162,47177,85936,4339,26546,19640,38584,85936,35263,78285,1215,4339,19640,85936,78285,43162,83650,39768,34
41504,59985,12894,57468,90352,4406,73116,67012,87018,100493,4406,65163,38019,56915,73116,87018,4406,38019,31931,83650,64754,34
25504,97983,53911,19183,58903,48513,34926,95417,65329,62802,48513,8427,12669,85006,34926,65329,48513,12669,31931,21687,64754,105303
81405,5853,98547,71624,35197,32484,104041,76105,26056,71642,32484,10887,15835,79971,104041,26056,32484,15835,31931,21687,64754,105303
71539,29219,61994,77061,17198,94433,64485,87108,90407,76423,94433,75272,17676,100863,64485,90407,94433,17676,43162,9457,39768,22756
19468,68161,25781,49283,1852,54006,40108,17740,66545,102686,54006,102552,51171,76812,40108,66545,54006,51171,31931,95880,64754,82581
